ins,shares,plate
LAUR,147363086,real_estate
MRCY,59915670,technology
RELY,206193217,real_estate
REGCO,181553314,real_estate
CLBT,239470062,technology
MLCO,425513460,consumer_discretionary
VEON,73967627,telecommunications
OXLCO,173600000,finance
LBTYK,340732722,telecommunications
VSAT,134262856,technology
NSIT,31470776,consumer_discretionary
TCBI,45755146,finance
LBTYA,340732722,telecommunications
NTRSO,191233303,finance
GBDC,266376416,finance
ACLX,55458911,health_care
MLTX,64230722,health_care
ADMA,238630719,health_care
RUN,230732571,miscellaneous
VRRM,159540820,consumer_discretionary
MIRM,50237646,health_care
MOBBW,2061377144,industrials
OSIS,16825912,technology
INTR,439704171,finance
KC,272185652,technology
TFSL,280688024,finance
SLNO,53145009,health_care
BWIN,118673705,finance
FRSH,291428675,technology
DLO,285475136,real_estate
QFIN,134600000,finance
HSAI,132467664,industrials
TENB,121094957,technology
PATK,33278675,consumer_discretionary
PLBL,371810000,consumer_discretionary
ARWR,138257550,health_care
INTA,82120029,technology
PLXS,26986726,technology
FIZZ,93620245,consumer_staples
ETOR,80873542,finance
WGS,28726248,technology
EEFT,40996169,finance
CAMT,45594474,technology
MTSR,105055538,health_care
EBC,211477511,finance
HWKN,20877130,consumer_discretionary
FULTP,182104347,finance
IPAR,32117600,consumer_discretionary
LNTH,67994149,health_care
PAGP,197743624,energy
APLD,261519794,finance
MGNI,142399305,technology
WULF,391926373,technology
TMDX,34090355,health_care
COMM,221525707,technology
EXPO,50501135,consumer_discretionary
AMBA,42689006,technology
LBRDP,143489191,telecommunications
AAPG,87066645,health_care
NCNO,115814720,technology
CARG,99260189,technology
AKRO,79988975,health_care
ODD,55828291,consumer_discretionary
INDB,49915917,finance
FULT,182104346,finance
TBBK,46065385,finance
VC,27276339,consumer_discretionary
USLM,28639538,industrials
AVPT,211926808,technology
IPGP,42219918,technology
PTGX,62211317,health_care
ENLT,119095640,utilities
OTTR,41905520,utilities
NWE,61393379,utilities
VSEC,20676319,consumer_discretionary
FIBK,104856752,finance
ZLAB,109955733,health_care
CATY,69093417,finance
PSMT,30753890,consumer_discretionary
BRZE,105611870,technology
APLS,126289909,health_care
GTM,318630783,technology
ZIONP,147623796,finance
BL,61887825,technology
ASO,66625431,consumer_discretionary
NMRK,176707888,finance
PLMR,26783464,finance
CNXC,63025120,technology
CRNX,94175993,health_care
PTON,407763539,consumer_discretionary
PCH,77286000,real_estate
JOYY,51721992,technology
BLKB,48509032,technology
POWL,12068547,energy
WSFS,55969140,finance
LGND,19596560,health_care
ICUI,24685713,health_care
FHB,124627543,finance
ALHC,198031417,health_care
PCTTU,180093093,industrials
MBLY,216005938,technology
AGYS,28042794,technology
LIVN,54601072,health_care
RUM,434668825,technology
GSHD,37558068,finance
DRVN,164279951,consumer_discretionary
COLM,54770067,consumer_discretionary
NMIH,77574120,finance
KYMR,71497596,health_care
INDV,124769820,health_care
WSBC,95989823,finance
OXLC,173600000,finance
AMRX,314079309,health_care
MGEE,36541848,energy
MGRC,24611531,consumer_discretionary
RARE,96371643,health_care
PGY,81608425,finance
CIFR,393282654,finance
SRRK,96127265,health_care
TLX,334724484,health_care
SFNC,144700944,finance
CAKE,49810427,consumer_discretionary
SEZL,34023465,real_estate
CSQ,158887622,finance
XENE,77105799,health_care
WDFC,13533864,industrials
PENN,146004713,consumer_discretionary
SOUNW,407686297,technology
IAC,80157271,technology
ARLP,128428024,energy
BATRA,62755203,consumer_discretionary
PRVA,122729925,health_care
SIMO,33983670,technology
POWWP,117110827,industrials
VKTX,112444960,health_care
EXTR,132209606,telecommunications
IMVT,174316840,health_care
ALRM,49905031,technology
MCHB,220920806,finance
XRAY,199483861,health_care
SGRY,128209410,health_care
NAMS,112628457,health_care
WB,244825280,technology
FA,173990559,technology
HCM,174422293,health_care
CVBF,137817599,finance
RNW,362769143,utilities
MYRG,15522834,industrials
SBCF,87854714,finance
SYNA,38656442,technology
MQ,448232751,technology
TOWN,74617330,finance
FRPT,48779873,consumer_staples
KNSA,74107668,health_care
FTAIM,102570597,industrials
NMFCZ,106360960,
HUT,105527927,finance
ALKT,104083138,technology
HTFL,77660085,health_care
GTX,201575458,consumer_discretionary
DAVE,13629658,finance
BATRK,62755202,consumer_discretionary
CELC,42426711,health_care
NWL,419100000,industrials
SBET,168866723,technology
NEXT,261988369,utilities
CHEF,40762658,consumer_discretionary
XMTR,50796348,real_estate
MEOH,67395212,industrials
FTAIN,102570598,industrials
IQ,962958848,consumer_discretionary
AUGO,82629872,
WRD,284528905,technology
VIAV,223245914,technology
CLSK,281083382,finance
ACLS,31418859,technology
SUPN,56073087,health_care
CGON,76247581,
VCYT,78671587,health_care
POWI,56095581,technology
FFBC,95753955,finance
DJTWW,277067396,technology
BTDR,196746148,finance
GCMG,194886150,finance
BHF,57152371,finance
WAFD,78792053,finance
MRX,70290885,finance
DIOD,46442735,technology
ALVO,301805676,health_care
FOLD,308239374,health_care
CPRX,122391010,health_care
GT,286046462,consumer_discretionary
BULLW,461451242,finance
TRMK,60366572,finance
KYIV,230863522,telecommunications
QUBT,159883187,technology
PAYO,360315543,real_estate
WSBCP,95989823,finance
ATEC,147983775,health_care
CNTA,134073435,health_care
PCT,180093094,industrials
HURN,17306887,consumer_discretionary
LQDA,86091454,health_care
SPNS,55887225,technology
TARS,42214105,health_care
MLYS,66295183,health_care
MFICL,93303622,finance
APPN,74031957,technology
CORZW,305408442,finance
FRME,57732339,finance
CENT,62871073,consumer_discretionary
BANR,34584501,finance
SYBT,29473331,finance
XNET,311860330,technology
PRCH,122581095,technology
NBTB,52394085,finance
FBNC,41462418,finance
APGE,59596409,health_care
TIGR,186895898,finance
TRMD,97814050,consumer_discretionary
FORM,77114213,technology
SBLK,117127531,consumer_discretionary
ADAMI,90579448,real_estate
