ins,ticksize,tradeunit
MELANIA_USDT,0.0001,1
MEMEFI_USDT,0.0000001,100
MEME_USDT,0.000001,10
MERL_USDT,0.00001,1
METIS_USDT,0.01,0.01
MEW_USDT,0.000001,1000
ME_USDT,0.0001,0.1
MGO_USDT,0.00001,100
MICHI_USDT,0.00001,10
MILK_USDT,0.0001,10
MINA_USDT,0.0001,0.1
MKR_USDT,0.1,0.001
MLN_USDT,0.001,0.1
MOBILE_USDT,0.0000001,1000
MOCA_USDT,0.00001,10
MOG_USDT,0.0000000001,100000
MOODENGETH_USDT,0.00000001,10000
MOODENG_USDT,0.00001,10
MORPHO_USDT,0.0001,1
MOVE_USDT,0.0001,1
MOVR_USDT,0.001,0.01
MTL_USDT,0.0001,0.1
MUBARAK_USDT,0.00001,10
MYRIA_USDT,0.0000001,100
MYRO_USDT,0.000001,10
NAVX_USDT,0.00001,10
NC_USDT,0.00001,10
NEAR_USDT,0.001,1
NEIROCTO_USDT,0.0000001,10000
NEIROETH_USDT,0.00001,10
NEIRO_USDT,0.0000001,1000
NEO_USDT,0.001,1
NEWT_USDT,0.0001,10
NFP_USDT,0.00001,1
NIL_USDT,0.0001,1
NKN_USDT,0.00001,1
NMR_USDT,0.001,0.1
NOT_USDT,0.000001,100
NS_USDT,0.00001,10
NTRN_USDT,0.00001,10
NXPC_USDT,0.0001,1
OBOL_USDT,0.0001,10
OBT_USDT,0.00001,100
OGN_USDT,0.00001,1
OG_USDT,0.001,0.1
OL_USDT,0.00001,100
OMG_USDT,0.0001,1
OMNI_USDT,0.001,0.1
OM_USDT,0.0001,1
ONDO_USDT,0.0001,1
ONE_USDT,0.000001,10
ONG_USDT,0.0001,10
ONT_USDT,0.00001,1
OP_USDT,0.0001,1
ORBS_USDT,0.00001,10
ORCA_USDT,0.001,0.1
ORDER_USDT,0.00001,10
ORDI_USDT,0.001,0.1
OXT_USDT,0.00001,10
PAAL_USDT,0.00001,10
PARTI_USDT,0.0001,10
PAWS_USDT,0.00000001,10000
PAXG_USDT,0.1,0.001
PEAQ_USDT,0.00001,10
PEIPEI_USDT,0.00000000001,10000000
PELL_USDT,0.000001,100
PENDLE_USDT,0.001,1
PENGU_USDT,0.000001,100
PEOPLE_USDT,0.000001,10
PEPE_USDT,0.000000001,10000000
PERP_USDT,0.0001,0.1
PFVS_USDT,0.00001,10
PHA_USDT,0.00001,1
PHB_USDT,0.0001,1
PIPPIN_USDT,0.000001,10
PIXEL_USDT,0.00001,1
PI_USDT,0.0001,1
PLUME_USDT,0.00001,10
PNUT_USDT,0.00001,10
POKT_USDT,0.00001,100
POLYX_USDT,0.00001,10
POL_USDT,0.0001,10
PONKE_USDT,0.00001,10
POPCAT_USDT,0.0001,10
PORT3_USDT,0.00001,100
PORTAL_USDT,0.0001,1
POWR_USDT,0.0001,10
PRAI_USDT,0.00001,10
PRCL_USDT,0.00001,10
PRIME_USDT,0.001,0.1
PROMPT_USDT,0.0001,10
PROM_USDT,0.001,0.1
PUFFER_USDT,0.0001,10
PUNDIX_USDT,0.0001,1
PYR_USDT,0.0001,9.6
PYTH_USDT,0.00001,10
QNT_USDT,0.01,0.01
QTUM_USDT,0.001,1
QUBIC_USDT,0.0000000001,1000000
QUICK_USDT,0.00001,0.01
RAD_USDT,0.0001,0.1
RARE_USDT,0.00001,10
RATS_USDT,0.00000001,10000
RAY_USDT,0.0001,0.1
RDAC_USDT,0.00001,100
RDNT_USDT,0.00001,1
RDO_USDT,0.000001,100
RED_USDT,0.0001,1
REI_USDT,0.00001,10
RENDER_USDT,0.001,1
REN_USDT,0.000001,10
REQ_USDT,0.00001,1
RESOLV_USDT,0.0001,10
REX_USDT,0.000001,100
REZ_USDT,0.00001,10
RFC_USDT,0.00001,10
RIFSOL_USDT,0.000001,10
RIF_USDT,0.00001,10
RLC_USDT,0.0001,1
ROAM_USDT,0.00001,10
RON_USDT,0.0001,1
ROSE_USDT,0.00001,100
RPL_USDT,0.001,0.01
RSR_USDT,0.000001,100
RSS3_USDT,0.00001,10
RUNE_USDT,0.0001,0.1
RVN_USDT,0.000001,10
RWA_USDT,0.000001,100
SAFE_USDT,0.0001,1
SAGA_USDT,0.0001,1
SAHARA_USDT,0.00001,100
SAND_USDT,0.0001,1
SANTOS_USDT,0.001,1
SATS_USDT,0.00000000001,10000000
SCA_USDT,0.00001,1
SCRT_USDT,0.0001,1
SCR_USDT,0.0001,1
SC_USDT,0.000001,100
SD_USDT,0.0001,1
SEI_USDT,0.0001,10
SEND_USDT,0.0001,1
SERAPH_USDT,0.00001,10
SFP_USDT,0.0001,1
SHELL_USDT,0.0001,10
SHIB_USDT,0.000000001,10000
SHM_USDT,0.0001,10
SIGN_USDT,0.00001,100
SIREN_USDT,0.00001,100
SKATE_USDT,0.00001,100
SKL_USDT,0.00001,10
SKYAI_USDT,0.00001,10
SLERF_USDT,0.00001,1
SLP_USDT,0.000001,1
SNT_USDT,0.00001,100
SNX_USDT,0.0001,0.1
SOLO_USDT,0.0001,10
SOLV_USDT,0.00001,10
SOL_USDT,0.01,1
SONIC_USDT,0.0001,10
SOON_USDT,0.0001,10
SOPH_USDT,0.00001,100
SPELL_USDT,0.0000001,1000
SPK_USDT,0.00001,100
SPX_USDT,0.0001,10
SQD_USDT,0.0001,10
SSV_USDT,0.001,0.1
STEEM_USDT,0.00001,10
STG_USDT,0.0001,1
STMX_USDT,0.000001,100
STORJ_USDT,0.0001,1
STO_USDT,0.00001,10
STRK_USDT,0.00001,1
STX_USDT,0.0001,1
SUI_USDT,0.0001,1
SUNDOG_USDT,0.00001,10
SUN_USDT,0.000001,0.1
SUPER_USDT,0.0001,1
SUPRA_USDT,0.000001,100
SUSHI_USDT,0.0001,1
SWARMS_USDT,0.00001,10
SWEAT_USDT,0.000001,100
SWELL_USDT,0.000001,100
SXP_USDT,0.0001,1
SXT_USDT,0.0001,10
SYN_USDT,0.0001,1
SYRUP_USDT,0.00001,10
SYS_USDT,0.00001,10
S_USDT,0.0001,1
TAIKO_USDT,0.0001,1
TAI_USDT,0.00001,10
TAO_USDT,0.1,0.01
TGT_USDT,0.00001,10
THETA_USDT,0.0001,1
THE_USDT,0.0001,1
TIA_USDT,0.001,1
TLM_USDT,0.000001,1
TNSR_USDT,0.0001,1
TOKEN_USDT,0.00001,100
TON_USDT,0.0001,0.1
TOSHI_USDT,0.0000001,10000
TRB_USDT,0.01,0.1
TRUMP_USDT,0.001,0.1
TRU_USDT,0.00001,10
TRX_USDT,0.00001,100
TSTBSC_USDT,0.00001,10
TURBO_USDT,0.0000001,1000
TUT_USDT,0.00001,100
TWT_USDT,0.0001,1
T_USDT,0.00001,100
ULTI_USDT,0.000001,100
UMA_USDT,0.0001,1
UNFI_USDT,0.0001,0.1
UNI_USDT,0.001,1
USDC_USDT,0.0001,1
USTC_USDT,0.000001,100
USUAL_USDT,0.00001,1
UXLINK_USDT,0.0001,10
VANA_USDT,0.001,0.1
VANRY_USDT,0.00001,10
VELODROME_USDT,0.00001,10
VELO_USDT,0.000001,100
VET_USDT,0.00001,100
VIC_USDT,0.0001,10
VINE_USDT,0.00001,10
VIRTUAL_USDT,0.0001,10
VOXEL_USDT,0.00001,10
VRA_USDT,0.000001,10
VTHO_USDT,0.000001,100
VVV_USDT,0.001,0.1
WAL_USDT,0.0001,10
WAVES_USDT,0.0001,1
WAXL_USDT,0.0001,1
WAXP_USDT,0.00001,1
WCT_USDT,0.0001,10
WEMIX_USDT,0.0001,1
WEN_USDT,0.00000001,10000
WHY_USDT,0.00000000001,1000000
WIF_USDT,0.0001,1
WLD_USDT,0.0001,1
WOO_USDT,0.00001,1
W_USDT,0.00001,1
XAI_USDT,0.00001,1
XAUT_USDT,0.1,0.001
XCH_USDT,0.001,0.001
XCN_USDT,0.000001,10
XDC_USDT,0.00001,100
XEC_USDT,0.00000001,10000
XEM_USDT,0.00001,1
XION_USDT,0.0001,1
XLM_USDT,0.00001,10
XNO_USDT,0.0001,1
XRD_USDT,0.000001,10
XRP_USDT,0.0001,10
XTZ_USDT,0.0001,1
XVS_USDT,0.001,0.01
X_USDT,0.00000001,10000
YFI_USDT,0.1,0.0001
YGG_USDT,0.0001,1
ZBCN_USDT,0.0000001,1000
ZCX_USDT,0.00001,10
ZEREBRO_USDT,0.00001,10
ZETA_USDT,0.0001,1
ZEUS_USDT,0.0001,10
ZIL_USDT,0.000001,10
ZKJ_USDT,0.0001,1
ZK_USDT,0.00001,0.1
ZORA_USDT,0.00001,100
ZRC_USDT,0.00001,10
ZRO_USDT,0.001,1
ZRX_USDT,0.0001,1
